raw_vars,new_var,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code
record_id,NA,Record ID,raw,0,NA,NA,NA,NA,NA,NA
diamond_ocd,NA,Obsessive-Compulsive Disorder,raw,0,"Yes = 1, No = 0",NA,NA,NA,NA,NA
diamond_ocd_rating,NA,Distress/Impairment,raw,0,"Normal = 1, Borderline = 2, Mild = 3, Moderate = 4, Marked = 5, Severe = 6, Extreme = 7",NA,NA,NA,NA,NA
diamond_body,NA,Body Dysmorphic Disorder,raw,0,"Yes = 1, No = 0",NA,NA,NA,NA,NA
diamond_body_rating,NA,Distress/Impairment,raw,0,"Normal = 1, Borderline = 2, Mild = 3, Moderate = 4, Marked = 5, Severe = 6, Extreme = 7",NA,NA,NA,NA,NA
diamond_socialax,NA,Social Anxiety Disorder (social phobia),raw,0,"Yes = 1, No = 0",NA,NA,NA,NA,NA
diamond_socialax_rating,NA,Distress/Impairment,raw,0,"Normal = 1, Borderline = 2, Mild = 3, Moderate = 4, Marked = 5, Severe = 6, Extreme = 7",NA,NA,NA,NA,NA
diamond_panic,NA,Panic Disorder,raw,0,"Yes = 1, No = 0",NA,NA,NA,NA,NA
diamond_panic_rating,NA,Distress/Impairment,raw,0,"Normal = 1, Borderline = 2, Mild = 3, Moderate = 4, Marked = 5, Severe = 6, Extreme = 7",NA,NA,NA,NA,NA
diamond_agora,NA,Agoraphobia,raw,0,"Yes = 1, No = 0",NA,NA,NA,NA,NA
diamond_agora_rating,NA,Distress/Impairment,raw,0,"Normal = 1, Borderline = 2, Mild = 3, Moderate = 4, Marked = 5, Severe = 6, Extreme = 7",NA,NA,NA,NA,NA
diamond_generalax,NA,Generalized Anxiety Disorder,raw,0,"Yes = 1, No = 0",NA,NA,NA,NA,NA
diamond_generalax_rating,NA,Distress/Impairment,raw,0,"Normal = 1, Borderline = 2, Mild = 3, Moderate = 4, Marked = 5, Severe = 6, Extreme = 7",NA,NA,NA,NA,NA
diamond_phobia,NA,Specific Phobia,raw,0,"Yes = 1, No = 0",NA,NA,NA,NA,NA
diamond_phobia_rating,NA,Distress/Impairment,raw,0,"Normal = 1, Borderline = 2, Mild = 3, Moderate = 4, Marked = 5, Severe = 6, Extreme = 7",NA,NA,NA,NA,NA
diamond_separationax,NA,Separation Anxiety Disorder,raw,0,"Yes = 1, No = 0",NA,NA,NA,NA,NA
diamond_separationax_rating,NA,Distress/Impairment,raw,0,"Normal = 1, Borderline = 2, Mild = 3, Moderate = 4, Marked = 5, Severe = 6, Extreme = 7",NA,NA,NA,NA,NA
